"date";"Indicator"
"2025-04-26";0,3896
"2025-04-27";0,3574
"2025-04-28";0,31
"2025-04-29";0,5514
"2025-04-30";0,4034
"2025-05-01";0,314
"2025-05-02";0,7364
"2025-05-03";0,6608
"2025-05-04";1
"2025-05-05";1
"2025-05-06";0,9718
"2025-05-07";0,3674
"2025-05-08";0,1486
"2025-05-09";0,1222
"2025-05-10";0,021
"2025-05-11";0,0044
"2025-05-12";0,3362
"2025-05-13";0,7508
"2025-05-14";0,7068
"2025-05-15";0,6724
"2025-05-16";0,3056
"2025-05-17";0,434
"2025-05-18";0,2092
"2025-05-19";0,151
"2025-05-20";0,0392
"2025-05-21";0,1906
"2025-05-22";0,168
"2025-05-23";0,1236
"2025-05-24";0,0838
"2025-05-25";0,19
"2025-05-26";0,0372
"2025-05-27";0,2794
"2025-05-28";0,2478
"2025-05-29";0,6664
"2025-05-30";0,558
"2025-05-31";0,4916
"2025-06-01";0,6498
"2025-06-02";0,5896
"2025-06-03";0,5314
"2025-06-04";0,592
"2025-06-05";0,786
"2025-06-06";0,9796
"2025-06-07";0,954
"2025-06-08";0,9088
"2025-06-09";1
"2025-06-10";0,8798
"2025-06-11";0,553
"2025-06-12";0,453
"2025-06-13";0,739
"2025-06-14";0,9406
"2025-06-15";0,04
"2025-06-16";0,1402
"2025-06-17";0,1764
"2025-06-18";0,2508
"2025-06-19";0,2996
"2025-06-20";0,813
"2025-06-21";0,1896
"2025-06-22";0,2132
"2025-06-23";0,3294
"2025-06-24";0
"2025-06-25";0,3446
"2025-06-26";0,0044
"2025-06-27";0,75
"2025-06-28";0,6674
"2025-06-29";0,5934
"2025-06-30";0,1014
"2025-07-01";0,9528
"2025-07-02";0,6514
"2025-07-03";0,4104
"2025-07-04";0,2228
"2025-07-05";0,669
"2025-07-06";1
"2025-07-07";0,9904
"2025-07-08";0,4276
"2025-07-09";0,243
"2025-07-10";0,0328
"2025-07-11";0,0268
"2025-07-12";0,14
"2025-07-13";0,183
"2025-07-14";0,5478
"2025-07-15";0,658
"2025-07-16";0,387
"2025-07-17";0,1738
"2025-07-18";0,1508
"2025-07-19";0,3898
"2025-07-20";0,7372
"2025-07-21";0,8436
"2025-07-22";0,7532
"2025-07-23";0,6356
"2025-07-24";0,1828
"2025-07-25";0,1654
"2025-07-26";0,3266
"2025-07-27";0,5304
"2025-07-28";0,7564
"2025-07-29";0,3846
"2025-07-30";0,2212
"2025-07-31";0,2722
"2025-08-01";0,2678
"2025-08-02";0,3196
"2025-08-03";0,2292
"2025-08-04";0,2472
"2025-08-05";0,0942
"2025-08-06";0,3912
"2025-08-07";0,1984
"2025-08-08";0,2882
"2025-08-09";0,2048
"2025-08-10";0,7774
"2025-08-11";0,5676
"2025-08-12";0,7128
"2025-08-13";0,9438
"2025-08-14";1
"2025-08-15";0,8746
"2025-08-16";0,6696
"2025-08-17";0,5062
"2025-08-18";0,647
"2025-08-19";0,6636
"2025-08-20";0,6666
"2025-08-21";0,8
"2025-08-22";0,0652
"2025-08-23";0,5604
"2025-08-24";0,096
"2025-08-25";0
"2025-08-26";0,2578
"2025-08-27";0,3626
"2025-08-28";0,4846
"2025-08-29";0,3968
"2025-08-30";0,398
"2025-08-31";0,4108
"2025-09-01";0,4138
"2025-09-02";0,1946
"2025-09-03";0,2148
"2025-09-04";0,1564
"2025-09-05";0,338
"2025-09-06";0,4062
"2025-09-07";0,6532
"2025-09-08";1
"2025-09-09";0,7806
"2025-09-10";0,62
"2025-09-11";0,7232
"2025-09-12";0,3906
"2025-09-13";0,0112
"2025-09-14";0,0036
"2025-09-15";0,1348
"2025-09-16";0,3344
"2025-09-17";0,6992
"2025-09-18";0,4814
"2025-09-19";0,6806
"2025-09-20";0,624
"2025-09-21";0,571
"2025-09-22";0,5202
"2025-09-23";0,5294
"2025-09-24";0,4912
"2025-09-25";0,438
"2025-09-26";0,3998
"2025-09-27";0,3758
"2025-09-28";0,4576
"2025-09-29";0,4708
"2025-09-30";0,475
"2025-10-01";0,427
"2025-10-02";0,262
"2025-10-03";0,7126
"2025-10-04";0,3026
"2025-10-05";0,2078
"2025-10-06";0,1062
"2025-10-07";0,0534
"2025-10-08";0,004
"2025-10-09";0,1398
"2025-10-10";0,3036
"2025-10-11";0,495
"2025-10-12";0,3758
"2025-10-13";0,4114
"2025-10-14";0,4482
"2025-10-15";0,4952
"2025-10-16";0,1888
"2025-10-17";0,148
"2025-10-18";0,1696
"2025-10-19";0,1548
"2025-10-20";0,0948
"2025-10-21";0,0808
"2025-10-22";0,1084
"2025-10-23";0,137
"2025-10-24";0,0792
"2025-10-25";0,0136
"2025-10-26";0,3918
"2025-10-27";0,3616
"2025-10-28";0,0714
"2025-10-29";0,1274
"2025-10-30";0,6032
"2025-10-31";0,5468
"2025-11-01";0,2056
"2025-11-02";0,0444
"2025-11-03";0,1552
"2025-11-04";0,2788
"2025-11-05";0,4154
"2025-11-06";0,2212
"2025-11-07";0,3958
"2025-11-08";0,6506
"2025-11-09";0,826
"2025-11-10";0,5522
"2025-11-11";0,2808
"2025-11-12";0,4476
"2025-11-13";0,4856
"2025-11-14";0,5244
"2025-11-15";0,574
"2025-11-16";0,6172
"2025-11-17";1
"2025-11-18";0,9184
"2025-11-19";0,7118
"2025-11-20";0,553
"2025-11-21";0,1572
"2025-11-22";0,1948
"2025-11-23";0,1998
"2025-11-24";0,1256
"2025-11-25";0,084
"2025-11-26";0,0064
"2025-11-27";0,0162
"2025-11-28";0,0342
"2025-11-29";0,123
"2025-11-30";0,1784
"2025-12-01";0,2394
"2025-12-02";0,3446
"2025-12-03";0,6144
"2025-12-04";0,7124
"2025-12-05";0,8384
"2025-12-06";0
"2025-12-07";0,1856
"2025-12-08";0,4206
"2025-12-09";0,143
"2025-12-10";0,1802
"2025-12-11";0,4056
"2025-12-12";0,739
"2025-12-13";0,0962
"2025-12-14";0,511
"2025-12-15";0,4582
"2025-12-16";0,4138
"2025-12-17";0,7258
"2025-12-18";0,2962
"2025-12-19";0,341
"2025-12-20";0,2974
"2025-12-21";0,0696
"2025-12-22";0,0408
"2025-12-23";0,3374
"2025-12-24";0,8542
"2025-12-25";0,6498
"2025-12-26";0,487
"2025-12-27";0,442
"2025-12-28";0,385
"2025-12-29";0,8332
"2025-12-30";0,9132
"2025-12-31";1
"2026-01-01";0,6974
"2026-01-02";0,5946
"2026-01-03";0,4276
"2026-01-04";0,2826
"2026-01-05";0,1568
"2026-01-06";0
"2026-01-07";0,1046
"2026-01-08";0,2396
"2026-01-09";0,2964
"2026-01-10";0,3146
"2026-01-11";0,3858
"2026-01-12";0,3824
"2026-01-13";0,1908
"2026-01-14";0,3554
"2026-01-15";0,9728
"2026-01-16";0,8818
"2026-01-17";0,2026
"2026-01-18";0,3618
"2026-01-19";0,6328
"2026-01-20";0,7522
"2026-01-21";0,838
"2026-01-22";0,9376
"2026-01-23";1
"2026-01-24";0,6068
"2026-01-25";0,1744
"2026-01-26";0,1812
"2026-01-27";0,1902
"2026-01-28";0,166
"2026-01-29";0,1704
"2026-01-30";0,3208
"2026-01-31";0,4438
"2026-02-01";0,6838
"2026-02-02";0,4448
"2026-02-03";0,312
"2026-02-04";0,8464
"2026-02-05";0,2262
"2026-02-06";0,4314
"2026-02-07";0,8098
"2026-02-08";0,1714
"2026-02-09";0,1284
"2026-02-10";0,1416
"2026-02-11";0,2956
"2026-02-12";0,5292
